_id,username,password,__v,age,salary,course,list_course.course
6536a566863f430dd3842977,Nghia,123123,,,,,
6536a588863f430dd3842978,Nghia2,123123,,,,,
6536a811863f430dd3842984,user1,pass123,,,,,
6536a811863f430dd3842985,admin,adminPass,,,,,
6536a811863f430dd3842986,johnDoe,qwerty789,,,,,
6536a811863f430dd3842988,testUser,securePass,,,,,
6536a811863f430dd3842989,guest,welcome123,,,,,
6536a811863f430dd384298a,user2,pass987,,,,,
6536a811863f430dd384298b,jsmith,password1,,,,,
6536a811863f430dd384298c,demoUser,demoPass,,,,,
6536a811863f430dd384298d,developer,devPass123,,,,,
6536ab5dac35496e918a335b,Meaning,nghialatoi,0,,,,
6536ab9c41a77f27ebad1f54,Meaning2,nghialatoi,0,,,,
6536abd5c2941603b04e842e,Meaning3,updatedPassword,0,,,,
653902efe4273872e140bdba,user1,pass123,,18,2000,,
653902efe4273872e140bdbb,admin,adminPass,,19,2400,,
653902efe4273872e140bdbc,johnDoe,qwerty789,,20,2800,,
653902efe4273872e140bdbd,alice,123456abc,,32,3200,65393d217b91a4f7607a1fce,65393d217b91a4f7607a1fce
653902efe4273872e140bdbe,testUser,securePass,,22,3600,,
653902efe4273872e140bdbf,guest,welcome123,,23,4000,,
653902efe4273872e140bdc0,user2,pass987,,24,4400,,
653902efe4273872e140bdc1,jsmith,password1,,25,4800,,
653902efe4273872e140bdc2,demoUser,demoPass,,26,5200,,
653902efe4273872e140bdc3,developer,devPass123,,27,5600,,
6539239de4273872e140bdc9,user1,pass123,,18,2000,,
6539239de4273872e140bdca,admin,adminPass,,19,2400,,
6539239de4273872e140bdcb,johnDoe,qwerty789,,20,2800,,
6539239de4273872e140bdcd,testUser,securePass,,22,3600,,
6539239de4273872e140bdce,guest,welcome123,,23,4000,,
6539239de4273872e140bdcf,user2,pass987,,24,4400,,
6539239de4273872e140bdd0,jsmith,password1,,25,4800,,
6539239de4273872e140bdd1,demoUser,demoPass,,26,5200,,
6539239de4273872e140bdd2,developer,devPass123,,27,5600,,
